Country or territory,Population (1 July 2022),Population (1 July 2023)
India,1425423212,1438069596
China[a],1425179569,1422584933
United States,341534046,343477335
Indonesia,278830529,281190067
Pakistan,243700667,247504495
Nigeria,223150896,227882945
Brazil,210306415,211140729
Bangladesh,169384897,171466990
Russia,145579899,145440500
